"Category_Id2","Category_Name2","Description2","Category_ID1","CreatedBy","CreatedDateTime","ModifiedBy","ModifiedDateTime","Is_Deleted","Br_Code","BackColor","ForeColor"
"10053","HONEY","","10017","0001","18/06/2009 14:55:27","0001","18/06/2009 14:55:27","N","EH","",""
"10054","CHEWING GUM","","10026","0001","18/06/2009 14:55:27","0001","18/06/2009 14:55:27","N","EH","",""
"10055","SALMON","","10027","0001","18/06/2009 14:55:27","0001","18/06/2009 14:55:27","N","EH","",""
"10056","DENTAL CARE","","10011","0001","18/06/2009 14:55:27","0001","18/06/2009 14:55:27","N","EH","",""
"10057","PEACHES","","10023","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10058","TABLETS&CAPSULES","","10020","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10059","COUNT LINES","","10028","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10060","S/TARY PROTECTION","","10011","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10061","MINT SAUCE","","10029","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10062","CONDIMENTS","","10029","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10063","MCVITIES","","10028","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10064","ORANGES/MANDARINS","","10023","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10065","POWDERS","","10020","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10066","OWN LABEL MIXES","","10013","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10067","MUSTARD","","10030","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10068","RICE LONG GRAIN","","10030","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10069","RICE BASMATI","","10030","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10070","TOILET PAPER 4PK","","10031","0001","18/06/2009 14:55:28","0001","18/06/2009 14:55:28","N","EH","",""
"10071","COOKING OILS","","10030","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10072","CARDED ITEMS","","10032","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10073","PAIN RELIEF","","10022","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10074","CADBURYS","","10028","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10075","OWN LABEL","","10002","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10076","POT NOODLES","","10033","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
"10077","COFFEE INSTANT","","10021","0001","18/06/2009 14:55:29","0001","18/06/2009 14:55:29","N","EH","",""
